,session,type,outcome,sponsor_count,section_count,word_count
BILLS-115hr1257ih,115,hr,ih,2,3,270
BILLS-115hr1257rh,115,hr,rh,6,3,567
BILLS-115hr1258ih,115,hr,ih,2,3,3431
BILLS-115hr1258rh,115,hr,rh,2,3,3509
BILLS-115hr1259eh,115,hr,eh,0,12,5695
BILLS-115hr1259ih,115,hr,ih,10,9,4932
BILLS-115hr1259rfs,115,hr,rfs,0,12,5678
BILLS-115hr1259rh,115,hr,rh,26,9,5114
BILLS-115hr125ih,115,hr,ih,2,2,998
BILLS-115hr1260ih,115,hr,ih,1,4,1208
BILLS-115hr1261ih,115,hr,ih,1,4,425
BILLS-115hr1262ih,115,hr,ih,2,3,1714
BILLS-115hr1263ih,115,hr,ih,1,3,1003
BILLS-115hr1264ih,115,hr,ih,1,2,487
BILLS-115hr1264rh,115,hr,rh,31,2,732
BILLS-115hr1265ih,115,hr,ih,3,3,700
BILLS-115hr1266ih,115,hr,ih,3,6,1090
BILLS-115hr1267ih,115,hr,ih,12,2,938
BILLS-115hr1268ih,115,hr,ih,15,2,317
BILLS-115hr1269ih,115,hr,ih,2,9,2281
BILLS-115hr126ih,115,hr,ih,1,4,542
BILLS-115hr1270ih,115,hr,ih,2,4,738
BILLS-115hr1271ih,115,hr,ih,2,3,1954
BILLS-115hr1272ih,115,hr,ih,1,12,5868
BILLS-115hr1273ih,115,hr,ih,8,2,276
BILLS-115hr1274ih,115,hr,ih,10,2,373
BILLS-115hr1274rh,115,hr,rh,14,2,617
BILLS-115hr1275ih,115,hr,ih,2,20,19081
BILLS-115hr1276ih,115,hr,ih,31,3,1528
BILLS-115hr1277ih,115,hr,ih,1,2,443
BILLS-115hr1278ih,115,hr,ih,13,2,250
BILLS-115hr1279ih,115,hr,ih,4,2,1159
BILLS-115hr127ih,115,hr,ih,1,2,190
BILLS-115hr1280ih,115,hr,ih,1,4,533
BILLS-115hr1281ih,115,hr,ih,1,1,117
BILLS-115hr1282eh,115,hr,eh,0,2,1421
BILLS-115hr1282ih,115,hr,ih,2,2,1311
BILLS-115hr1282rfs,115,hr,rfs,0,2,1415
BILLS-115hr1282rh,115,hr,rh,2,2,1559
BILLS-115hr1283ih,115,hr,ih,3,2,289
BILLS-115hr1284ih,115,hr,ih,2,2,334
BILLS-115hr1285ih,115,hr,ih,1,6,4409
BILLS-115hr1286ih,115,hr,ih,1,2,275
BILLS-115hr1287ih,115,hr,ih,70,2,353
BILLS-115hr1288ih,115,hr,ih,7,3,911
BILLS-115hr1289ih,115,hr,ih,11,15,5104
BILLS-115hr128ih,115,hr,ih,1,2,297
BILLS-115hr1290ih,115,hr,ih,6,2,444
BILLS-115hr1291ih,115,hr,ih,117,19,7847
